         232641244 function calls (232621006 primitive calls) in 406.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1302/4    0.010    0.000    2.660    0.665 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     1259    0.010    0.000    0.070    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
    43810    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
     3263    0.009    0.000    0.012    0.000 ntpath.py:124(splitdrive)
     2383    0.009    0.000    0.010    0.000 <frozen importlib._bootstrap>:87(acquire)
     3385    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FF846F23C60}
     1263    0.008    0.000    0.651    0.001 <frozen importlib._bootstrap_external>:1374(_get_spec)
     1089    0.008    0.000    0.262    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
    24000    0.008    0.000    0.008    0.000 coreviews.py:53(__getitem__)
  995/116    0.008    0.000    0.022    0.000 sre_compile.py:71(_compile)
    12002    0.008    0.000    0.008    0.000 graph.py:1186(has_edge)
       98    0.008    0.000    0.008    0.000 {built-in method builtins.eval}
1259/1213    0.008    0.000    0.384    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      385    0.007    0.000    0.009    0.000 sre_compile.py:276(_optimize_charset)
    13094    0.007    0.000    0.017    0.000 sre_parse.py:254(get)
     1227    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     2383    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap>:112(release)
   1089/6    0.007    0.000    2.649    0.441 <frozen importlib._bootstrap_external>:844(exec_module)
    32834    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
     2600    0.007    0.000    0.007    0.000 {built-in method _thread.allocate_lock}
     8811    0.007    0.000    0.007    0.000 {method 'expandtabs' of 'str' objects}
     4801    0.006    0.000    0.654    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      533    0.006    0.000    0.017    0.000 inspect.py:2152(_signature_from_function)
       98    0.006    0.000    0.015    0.000 __init__.py:345(namedtuple)
       26    0.006    0.000    0.006    0.000 {built-in method nt._getfinalpathname}
     2178    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
    10138    0.006    0.000    0.006    0.000 {method 'replace' of 'str' objects}
     1385    0.006    0.000    0.015    0.000 ntpath.py:77(join)
     9233    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
